TF2,AP-2alpha,AP-2gamma,ARID3A,ATF1,ATF2,ATF3,BAF155,BAF170,BATF,BCL11A,BCL3,BCLAF1,BDP1,BHLHE40,BRCA1,BRF1,BRF2,Bach1,Brg1,CBX3,CCNT2,CEBPB,CEBPD,CHD1,CHD2,COREST,CREB1,CTCF,CTCFL,CtBP2,E2F1,E2F4,E2F6,EBF1,ELF1,ELK1,ELK4,ERRA,ETS1,EZH2,Egr-1,FOSL1,FOSL2,FOXA1,FOXA2,FOXM1,FOXP2,GABP,GATA-1,GATA-2,GATA2,GATA3,GR,GRp20,GTF2B,GTF2F1,HA-E2F1,HDAC1,HDAC2,HDAC6,HMGN3,HNF4A,HNF4G,HSF1,IKZF1,IRF1,IRF3,IRF4,Ini1,JARID1A,JunD,KAP1,MAZ,MBD4,MEF2A,MEF2C,MTA3,MYBL2,MafF,MafK,Max,Mxi1,NANOG,NELFe,NF-E2,NF-YA,NF-YB,NFATC1,NFIC,NFKB,NR2F2,NRSF,Nrf1,PAX5-C20,PAX5-N19,PGC1A,PHF8,PLU1,PML,POU2F2,POU5F1,PRDM1,PU.1,Pbx3,Pol2,Pol2(b),Pol2(phosphoS2),Pol2-4H8,Pol3,RBBP5,RFX5,RPC155,RUNX3,RXRA,Rad21,SAP30,SETDB1,SIN3A,SIRT6,SIX5,SMC3,SP1,SP2,SP4,SPT20,SRF,STAT1,STAT2,STAT3,STAT5A,SUZ12,Sin3Ak-20,TAF1,TAF7,TAL1,TBLR1,TBP,TCF12,TCF3,TCF7L2,TEAD4,TFIIIC-110,THAP1,TR4,TRIM28,UBF,UBTF,USF-1,USF1,USF2,WHIP,YY1,ZBTB33,ZBTB7A,ZEB1,ZKSCAN1,ZNF217,ZNF263,ZNF274,ZZZ3,Znf143,c-Fos,c-Jun,c-Myc,eGFP-FOS,eGFP-GATA2,eGFP-HDAC8,eGFP-JunB,eGFP-JunD,p300
AP-2alpha,1.0,0.7240598617855712,,,,,0.17410111422152413,0.10344166380271194,,,,,0.007033923943694223,,0.12909256091420068,0.002624525083952551,-0.0018353756221642897,,0.07317901573100317,,,0.1303788381509622,,,0.225884417054548,0.2093026731342778,,0.04014805008946396,,,0.12822182156680664,0.09506578207659368,0.11784748597100118,,,0.10372200361239114,0.12393428755947496,,,-0.007104327217078423,,,,,,,,0.09655261442553743,,,,,,,,0.1793682305568524,0.14680121937677254,,,,,,,,,,0.04372497571645967,,0.16407189512759113,,0.13527251322395584,,0.20754599008812952,,,,,,,0.06744652476800368,0.24184309110122781,0.17973826531339948,,,,0.08484012851299415,0.07089945522763684,,,,,0.02198478749971339,0.06118969437946308,,,,,,,,,0.051707472257723444,,,0.2384923159560665,0.07895092563240706,0.138235416408595,,,,0.14474772268579192,0.01341273296776649,,,0.08315788197599891,,,,,,0.11283879359803516,,,,-0.0012751648961413656,,0.17872457776003786,,0.12883115905151354,,,,0.16736099113102196,,,,0.18315662745515632,,,0.23383517062084708,,0.015198523126861915,,0.04788108614472421,,,,,,0.10017171565112788,,,,,,0.08160401667319729,,,-0.002001560274583111,0.006458853130664145,0.08633821711249565,0.12780660430126045,0.1415217168603961,0.1941050073325185,,,,,,0.14215761746896668
AP-2gamma,0.7240598617855712,1.0,,,,,0.1841029103037827,0.11066264501754844,,,,,0.010826218688336154,,0.1412056960712917,0.0033601478917358036,-0.0022309041864886766,,0.07848728257289185,,,0.13944495743081062,,,0.2499665740851514,0.22891574598948963,,0.04844856739580257,,,0.1386980228652961,0.1033143402557117,0.13089296475189144,,,0.11774559347466068,0.13773136949853146,,,-0.007696854361578638,,,,,,,,0.10891949819495067,,,,,,,,0.1982039116217905,0.1624734826289783,,,,,,,,,,0.0510932211287349,,0.1762963844885035,,0.1417769800900642,,0.2261642474689741,,,,,,,0.07422150429667634,0.27069209373463965,0.19921184116390178,,,,0.09617854913240877,0.08074623956145141,,,,,0.02464488227817102,0.07115796371326909,,,,,,,,,0.05398670980303526,,,0.26363564403520273,0.08797476639896548,0.15539157945873863,,,,0.15754529865198047,0.017913442560158477,,,0.09385487710769352,,,,,,0.12679113643915443,,,,-0.0019995149342180007,,0.1936150594250358,,0.13736807483311375,,,,0.1883075657667239,,,,0.20082514750275246,,,0.24871826863165625,,0.017741946158602508,,0.055458466741695,,,,,,0.11232433397213591,,,,,,0.08845431686927963,,,-0.002282715105207404,0.0064628602024761955,0.09618807043257609,0.13384339129855247,0.14734015629665909,0.21184939481077145,,,,,,0.14781107326991844
ARID3A,,,1.0,0.22622775919013283,,0.11136271803065893,,,,,0.10117338999973376,0.1620759058404375,0.04702486891733597,0.17186949139048446,0.06280735601287224,0.01766452702429344,0.010826216660181588,0.10645634996214323,0.15565842138512223,0.1685973749942998,0.17756226404092862,0.1690819668073873,0.15475811107378445,0.01794097551499339,0.09158560323090714,0.2294947091401034,,0.09951841758766804,0.044538189284387096,,,0.07518393413632267,0.06324793178887807,,0.12449047312940523,0.08445606986141668,,0.06822468019650685,0.10537570543889757,0.011076683371306791,0.08673884104435832,0.13446262793474958,0.2320938353178863,0.30447019179806944,0.2716783449948089,,,0.10140825712545921,0.19612577968787331,0.22942573988696122,0.23546832366428874,,,0.04285894276861868,0.05793834783876268,0.08722497260944508,,0.05444589102417571,0.21618730991061003,0.01957308718724752,0.11509373096331948,0.2757410591262615,0.2411642314757751,0.07657698076390936,,0.19460757834836287,0.03096079532880755,,0.11676456513412056,,0.2412137475415453,0.0022878894700511755,0.16259871417273836,0.23099787225062948,0.16358587852069945,,,0.30766597856625977,0.0839789268655794,0.07794960824803669,0.1401866669443989,0.16945088400267602,,0.01844428631225591,0.06995122382947797,0.05204724081083462,0.03878027964003361,,0.33137192595433307,,0.2245617058049884,0.130127862809384,0.036163724638772585,,,0.08325566678637246,0.03984729853245097,0.06350177902608141,0.22059267041941472,,,,0.05404089149823216,,0.11392325499206972,0.13960775550644708,0.056741609895568035,0.14948330354543435,0.020361179590045554,0.07132378288825196,0.1038882629796814,0.055555714746234754,,0.27604727728861944,0.12485114318342726,0.029381015770374455,0.019766461482429557,,0.2056827047618325,0.05094768811887508,0.1590458360148596,0.238411929723854,0.03882502538884749,,,0.09111544317549135,0.1605242616077971,0.2026113863664946,,0.28162398453097404,,0.09990606725433358,0.08803595058633334,0.07153006417143301,0.2034435473801808,0.35573411852504794,0.15802497306167884,0.16919300094564918,,0.15776146810738262,0.2961989017142379,0.041041137680281725,0.060498843478620744,0.04062030675965228,0.2689754399699774,0.042068051573536665,0.08305868109973756,0.0716192021784095,,0.041055362245625546,,0.10707506795924662,0.08574008532512706,0.06819540822020961,,,,0.012043534020071987,0.03738077266013026,,0.14095247550459652,0.13449266507859425,0.2177360228370369,0.16926557249252178,0.13053422957808444,0.2300445938961504,0.04418935052805726,0.21175214192521463,0.2249754897050915,0.3575250226441886
ATF1,,,0.22622775919013283,1.0,,0.2926398926952025,,,,,0.08510717618143078,0.13553701703169552,0.01987964067262497,0.20515234643423688,,0.0034093423962943854,0.011020029872838155,0.06984380681673101,0.09708613228102249,0.16231797882510368,0.20796569655402022,0.18789064134841907,,0.020218007802283482,0.13068726975596276,0.2854723315618645,,0.03078182700849876,0.030827091768543327,,,0.14647586618795028,0.12340422599970503,,0.17826713248765405,0.11623731147949862,,,0.14565325744235655,0.016051842401506613,0.12025140402091562,0.18530249237252505,,,,,,0.21474607013590916,0.17723105095931468,0.2067712198589115,0.23556672128719908,,,,0.10373626165569685,0.10991987201544057,,0.08173793512753964,0.13012436990787327,0.015776769680866647,0.14762544749656273,,,,,0.23501345209545108,,,0.07602765293645151,,0.36597619308357643,-0.002398735190849868,0.19818457850316273,,0.1603378857888918,,,,0.09426287661689385,0.11041313669922337,0.2230481782672046,0.1553354721340141,,0.03274803294690459,0.07334367921653018,0.12423499021706277,0.0996749397412244,,,,0.2166468560720549,0.15064745328715892,0.0919322063434691,,,,0.10070454663587426,0.12185106908244958,0.2297647024207735,,,,0.09770860394888377,,0.18944621741114154,0.16933176476233325,0.05677433178749236,0.23176355051499453,0.0035872107311540275,0.10770838347774069,0.10621496221642039,0.01822540892255147,,,0.024276052713445448,0.07185716954331352,0.033158165526981365,,0.17651469193978056,0.13710647506496626,0.02893874016534392,0.19382219984874527,0.10309939349216836,,,0.15816708126704648,0.13828059546464994,0.17222867111115092,,0.243289339673227,,0.10608289721788922,0.172588880856854,0.06890409253258217,0.20044402540333225,0.29394257675651125,0.1739777545237465,,,,0.2650775022738591,0.015851317547743857,0.09715628480591679,0.03409733147736923,0.2221456269022347,0.052768907288844986,0.09443924248219483,0.1131898642281654,,0.056862497743468556,,0.14678318854193853,0.0765664764718085,0.07773205202670572,,,,0.013736633614900283,0.0404189458950003,,0.09005955620628689,0.2294403925630812,0.39974010858023684,0.2758645410126813,0.19149803613339644,0.18004265861155427,0.03999271459441581,0.2560665259652882,0.32571443253966387,0.31504763014036913
ATF2,,,,,1.0,0.07509171628953124,,,0.3008820379477881,0.24605728961255607,0.278713909192994,0.22700308889547272,,0.25486909888319437,0.0877508713307781,,,0.08136150251072,,,,0.18820465688148508,,0.10256718779038515,0.2270333344640001,0.13801592921153955,,0.03328832944319749,,0.12087617209013625,,0.0827902578433468,,0.2350539920728483,0.18142624930393678,0.15200319439402074,,,0.1230399299765122,0.01937521944892228,0.12821769469419395,0.03722362984106646,,,,0.48730123001936965,,0.10725259450942067,,,,,,,,0.1491259805643783,,,0.13093161043370574,,,,,,0.26254784343983106,,,0.37442823931139424,,0.10161657871489509,0.22341592290912884,,0.2097018888655198,,0.37746731998181354,0.3107800115221328,0.3640725122816661,,,0.04259763878286546,0.15037295142380186,0.1820262403741121,0.10357130798090776,,0.03437374726085192,0.04639651679032844,0.08805306958432808,0.3236276395266625,0.5161827955882475,0.3538837254388542,,0.048495458386786094,0.07712030565980996,0.22119544531587237,0.3134853828592351,,,,0.32937453724307375,0.28508153091077254,0.08714488067083088,,0.1701123200467545,0.11711385899843493,0.20802642621919049,,0.14551542156050995,0.18348385634375833,0.02029099775790067,0.1390795493762123,0.07803235694734788,,0.3669214026113283,0.09304435671320968,0.061133090895319334,,,0.1670697428525147,,0.08891903209448965,0.06908842535546768,0.2509475096049145,0.0686861891792215,0.23084898770419005,,0.10873280679833483,0.04951584258220435,,0.23327447673418353,0.27534930718167533,-0.003411357011364216,0.1360565075960958,0.1906968155994062,0.1735494348406603,,0.3548357610262722,0.21908222985929737,0.18827178410174614,0.2265383478242354,,0.11335575537320319,,,0.0230135417550959,,,,0.06644307215707465,,0.08656903645037434,0.13348398496484262,0.16891181541017392,0.0951903056893666,,0.09110474541406949,,,,-0.003069781338694275,0.02486042483636903,0.08189093035249391,0.04662323158901437,0.1657048134360987,0.1034477652748563,,,,,,0.31524067772046854
ATF3,,,0.11136271803065893,0.2926398926952025,0.07509171628953124,1.0,,,0.008753859983459424,0.011889558151347616,0.18090280280863633,0.11719018242916651,0.08039943678333804,0.1673081727864605,0.07780347294037211,0.040404750885871345,0.00749215629688164,0.08419618814961699,0.07110485401721786,0.18465082451676806,0.2132155762257201,0.09106312103745276,0.1309270704891077,0.028448946520310783,0.12428329589662945,0.1289044381339753,0.15850135048727468,0.05385926698937369,0.1012896732216389,0.04406941495518867,,0.15018148936051245,0.2127606953243246,0.01357020649291355,0.18440672113247555,0.11890398675511284,,0.0371013359050882,0.2083561249090761,0.003554640818019444,0.11359276655714827,0.18549354027028087,0.19763678953051533,0.04451877675440903,0.04524200634891569,0.053162857200863674,,0.18714529558018106,0.10341286153726215,0.10961067962338365,0.12596245008744553,,0.2503596024495862,0.13392361889761842,0.09097544497712826,0.13238959974790432,,0.12624070715211588,0.10339212787156975,0.041079228206605305,0.19325132936976294,0.08054804973153039,0.06536021295510512,0.047778412054982615,-0.0005159404079298911,0.23931067217969001,0.02987059741007979,0.035512609299070665,0.06154422509769878,0.12630738444611564,0.16973942325216973,-0.0009106895583957956,0.16435946466586512,0.0605591996218797,0.0936667865737092,0.0403819311026641,0.024025975781055156,0.1138661161771221,0.05051058225643373,0.04736301157565457,0.19547672711265102,0.15321151288256452,0.03497709093528613,0.038637770864489995,0.19840884407641216,0.08043031613795475,0.07521861135088424,0.01990068301811115,0.06930548066760644,0.024071963075345825,0.16304535148363716,0.12429111674171092,0.11493800898113668,0.07685583048330542,0.05518093973894292,0.04826797314625262,0.15668918769844198,0.16102824052410875,0.1342244874613782,0.07647149406906266,0.015057389162322413,,0.043611102975418384,0.03376363609141033,0.14618311915005464,0.16061342576723978,0.06088166772944749,0.12749900859452046,0.016225458015173097,0.11311465579707525,0.08080859516907292,0.07554280076182152,0.05498573361489761,0.07202298277136782,0.05610571239201726,0.12171107957091183,0.06018925352371109,0.12000453316985793,0.11305886114798774,0.18934647382079328,0.057315363699515565,0.13320415847195227,0.05174588553143852,0.13855606752795455,,0.14136054472996587,0.06290546081518093,0.11585762851044322,0.016873898335199738,0.08537881111476667,-0.0013600885046029607,0.1819578806921487,0.13498882815833863,0.11581016550698753,0.10751164494866061,0.15275011969467273,0.14371031284829022,0.14476591302799935,0.05854810573960236,0.02193033112375721,0.10942638938932203,0.06963334591806448,0.1993689988083809,0.04701251867577345,0.1766480112354004,0.08275822120310523,0.1323864621014444,0.2098871246418416,,0.24271335258321758,0.024444427097385077,0.15865536505061165,0.16534464019306103,0.10234831178808373,0.052074034407889845,,,0.029817437286013507,0.011382931614652543,0.004701187477353462,0.12065798136162383,0.20222517393542108,0.21249194959446574,0.17686455632462694,0.28342796436779505,0.08329969427793275,0.055145793842312836,0.2759190904307904,0.28416005878033157,0.18207900335667193
BAF155,0.17410111422152413,0.1841029103037827,,,,,1.0,0.2735995673367508,,,,,0.0052937404686095296,,0.12295137730996004,0.001663589330590672,-0.00045740367570705265,,0.20651820274047372,,,0.11153564139261439,,,0.20243412019302298,0.20472117763409137,,0.027382027867293275,,,0.0593777614334688,0.061355258165345046,0.09129052391147426,,,0.09327353974983528,0.11525709618495232,,,-0.006024788059729263,,,,,,,,0.09136794119823682,,,,,,,,0.20294519301421982,0.072772922071338,,,,,,,,,,0.03614915732733931,,0.25986006146406865,,0.14072576433947012,,0.15948660738517162,,,,,,,0.08162938764264933,0.2085368764347253,0.17436249405378104,,,,0.07325639424658302,0.06300699178608823,,,,,0.035259390969718675,0.04695199522867383,,,,,,,,,0.04690335335827396,,,0.19634913911050692,0.10509946358060672,0.10704451185616964,,,,0.1436619578058339,0.011794791017451518,,,0.07856652151451256,,,,,,0.10049738198770541,,,,0.0015505255929304492,,0.17027922398653456,,0.14319882153872868,,,,0.1569778694209347,,,,0.18188157979176456,,,0.1919445326213695,,0.015661937073935758,,0.042895778558344026,,,,,,0.1008623077701712,,,,,,0.08279146946484303,,,-0.0015452836302239314,0.005838675718293878,0.07147034201883012,0.15702016514663084,0.16351662494059463,0.17024120998722644,,,,,,0.13781468010664552
BAF170,0.10344166380271194,0.11066264501754844,,,,,0.2735995673367508,1.0,,,,,0.011367745529702567,,0.12403405193173156,0.006235763602382782,-0.00024312558515979116,,0.17265631456522457,,,0.07748168536085417,,,0.15917329537610325,0.14254610686002173,,0.016413831015319735,,,0.043366028114742904,0.05147503787531582,0.06779276684129243,,,0.08129575555586072,0.0954181332586748,,,-0.0025877049601251687,,,,,,,,0.08507500725010883,,,,,,,,0.15836866098603303,0.0488363556780557,,,,,,,,,,0.03460583078986296,,0.16352213039907373,,0.0895624523290311,,0.11650255593862553,,,,,,,0.06620304306126665,0.14477101600670103,0.12790779250442788,,,,0.06506673706019547,0.052289359619288524,,,,,0.02254689158293624,0.046482749052514094,,,,,,,,,0.03673757535216229,,,0.1340653622736131,0.08679203104995475,0.08554632836982652,,,,0.10974088093272652,0.012632547645450319,,,0.05284514063650851,,,,,,0.06789240003163005,,,,0.0036948876828146503,,0.12822666991570347,,0.1030316841968088,,,,0.119010177581939,,,,0.14228684829106736,,,0.14009670364798338,,0.014977668050456234,,0.04601115192812571,,,,,,0.09038296047233035,,,,,,0.06192533716609184,,,-0.0007761493469803961,0.0030225151916508913,0.08345120130404163,0.10200743135462488,0.0995190538637809,0.1396403529331886,,,,,,0.08999758260972242
BATF,,,,,0.3008820379477881,0.008753859983459424,,,1.0,0.3773898575636808,0.19833218975371458,0.11811106957720115,,0.16632387264305762,0.0009667724923314033,,,,,,,0.1927140107684609,,0.041062234612310886,0.1368272587874856,0.0612976156386671,,0.008350240598193849,,,,0.013910376630711308,,0.2052400448101086,0.06736589731092775,0.03973207280312395,,,0.04575643548199411,0.033219022742005846,0.08141398435076942,,,,,0.24697278532520078,,0.023142392711521246,,,,,,,,,,,,,,,,,0.18034550858286405,,,0.34617152788290495,,,0.22614667510560155,,0.0793828614491498,,0.2822882524767698,0.22380065316084485,0.19604298699229514,,,,0.0580916759365666,0.09350207990176891,,,0.005126858621449759,0.003020900643939821,0.034581233207400405,0.19043653360180374,0.3091680234153758,0.24628346071339496,,0.016379972780818312,0.008664254345856793,0.16526093022752267,0.24244848298858512,,,,0.14152572472534214,0.19378397345504403,,,0.14595050541378282,0.08955826070408682,0.048957913430549276,,0.02526016694436234,0.050939761533021544,0.02025593240345694,,0.03284147830392905,,0.30714169927964,0.07534041161338427,0.05005631328538558,,,0.030051879458398673,,0.020464378502983254,0.041059528521477255,0.19963309659853848,,,,0.08393246975806193,0.01784201046797447,,0.1548158265271128,0.15953750312919543,,,0.07261621639701986,,,0.19709946790885405,0.11884810587686852,0.19567769991621503,0.16086091998498755,,,,,-4.878545578899823e-05,,,,0.03443419538431936,,0.059009413493517154,0.061117193848805394,0.09624078169456593,0.03881236001983303,,0.04471880120920529,,,,-0.002473730559265436,0.011210704088157544,0.019119677980960134,0.004579045762332633,,0.016436135936434896,,,,,,0.3202034917420353
BCL11A,,,,,0.24605728961255607,0.011889558151347616,,,0.3773898575636808,1.0,0.2749531908411241,0.15188629104869866,,0.2479407268219755,0.006866200755014618,,,0.022553492094156725,,,,0.13994461701940514,,0.036041801864869126,0.14832084741558263,0.08819819851304438,,0.004121464594829028,,0.056123180588855674,,0.023574787930466645,,0.2842559152035325,0.1080784522120814,0.06136900165875335,,,0.05972324552993475,0.021810387085649887,0.09295665352641468,0.014130793653924669,,,,0.330353238636832,,0.020272353647088067,,,,,,,,0.021844506203654163,,,0.213762758920406,,,,,,0.23414577465753705,,,0.4335346430372918,,0.0012386291303647886,0.16920161580069532,,0.13064182014286466,,0.35308634711931247,0.2889728018593369,0.2683052297501274,,,0.022589310789428496,0.07226138858668038,0.08340771151448086,0.28752622643619363,,0.011574362128063021,0.006267065118018254,0.04951504367767264,0.251264090406325,0.3718095899159377,0.3309613067915789,,0.025973493311722638,0.01195995236797045,0.23987892417911408,0.37627463806870093,,,,0.19491453725414964,0.26834056006222284,0.26400950953876523,,0.20618381619142662,0.1248330421444209,0.055946021982564084,,0.048430310525081045,0.06263614727175829,0.003544866823413637,0.03423680014179048,0.027839616730104225,,0.3442939710935233,0.10252040707147499,0.03999389250324805,,,0.04251586215104597,,0.018425355215660574,0.04828484481542234,0.25503054094526023,0.001923721106284005,0.02794154275924265,,0.055989514794016544,0.02650505492427524,,0.1995376434195286,0.20896575354733632,-0.0007126923997604876,0.04609766878596705,0.06977832935967386,0.02382464996757398,,0.2876794639552986,0.10010836959943462,0.2479699282302581,0.23044649771765277,,0.14039540222233812,,,0.0028522659532001144,,,,0.030825909083874725,,0.04279662458249538,0.08155875409931838,0.0978029375540861,0.05701874860800536,,0.06713633483262296,,,,-0.0020378292421674364,0.011440045975932863,0.014897494282440237,0.009572078270847155,0.0744209827594247,0.023130055573988006,,,,,,0.3650177752536537
