,transcription_factor,auROC,auPRC,iters_tested,iters_train_valid,iters_trained,min_delta,patience,train_time,valid_losses,Unnamed: 0,auPRC_bestmodel,auPRC_earlystop,auROC_bestmodel,auROC_earlystop,iters_trained_bestmodel,iters_trained_max,iters_trained_total,validation_freq,valid_chr,path_name
0,CTCF,,,10000.0,1000.0,,0.0,4.0,5400.125982958823,"[<tf.Tensor: shape=(), dtype=float32, numpy=40.31889>, <tf.Tensor: shape=(), dtype=float32, numpy=16.130392>, <tf.Tensor: shape=(), dtype=float32, numpy=11.0846405>, <tf.Tensor: shape=(), dtype=float32, numpy=9.152873>, <tf.Tensor: shape=(), dtype=float32, numpy=9.251067>, <tf.Tensor: shape=(), dtype=float32, numpy=8.795311>, <tf.Tensor: shape=(), dtype=float32, numpy=7.9812293>, <tf.Tensor: shape=(), dtype=float32, numpy=8.041482>, <tf.Tensor: shape=(), dtype=float32, numpy=8.099063>, <tf.Tensor: shape=(), dtype=float32, numpy=7.6679444>, <tf.Tensor: shape=(), dtype=float32, numpy=7.6080227>, <tf.Tensor: shape=(), dtype=float32, numpy=8.157726>, <tf.Tensor: shape=(), dtype=float32, numpy=7.6127334>, <tf.Tensor: shape=(), dtype=float32, numpy=7.7504764>, <tf.Tensor: shape=(), dtype=float32, numpy=7.660425>]",0.0,0.599672599988435,0.5986282412517738,0.9885175902973456,0.9898813769781509,2000.0,5000.0,2800.0,200.0,chr1,CTCF_early_stop_5000_train_1000_4_0_02Aug2020_0802_1000.csv
1,CTCF,,,10000.0,1000.0,,0.001,4.0,5353.959328373894,"[<tf.Tensor: shape=(), dtype=float32, numpy=41.57271>, <tf.Tensor: shape=(), dtype=float32, numpy=14.573631>, <tf.Tensor: shape=(), dtype=float32, numpy=10.610184>, <tf.Tensor: shape=(), dtype=float32, numpy=9.031144>, <tf.Tensor: shape=(), dtype=float32, numpy=9.18835>, <tf.Tensor: shape=(), dtype=float32, numpy=8.812051>, <tf.Tensor: shape=(), dtype=float32, numpy=7.9910846>, <tf.Tensor: shape=(), dtype=float32, numpy=8.3144045>, <tf.Tensor: shape=(), dtype=float32, numpy=7.834643>, <tf.Tensor: shape=(), dtype=float32, numpy=7.5946903>, <tf.Tensor: shape=(), dtype=float32, numpy=7.4844093>, <tf.Tensor: shape=(), dtype=float32, numpy=8.00251>, <tf.Tensor: shape=(), dtype=float32, numpy=7.679236>, <tf.Tensor: shape=(), dtype=float32, numpy=8.556844>, <tf.Tensor: shape=(), dtype=float32, numpy=7.6997747>]",0.0,0.5939311606803003,0.5996865303481198,0.9899278386486396,0.990560992785687,2000.0,5000.0,2800.0,200.0,chr1,CTCF_early_stop_5000_train_1000_4_3_02Aug2020_0802_1000.csv
2,CTCF,,,10000.0,1000.0,,0.0,5.0,5478.227638497017,"[<tf.Tensor: shape=(), dtype=float32, numpy=35.560307>, <tf.Tensor: shape=(), dtype=float32, numpy=15.216799>, <tf.Tensor: shape=(), dtype=float32, numpy=10.717348>, <tf.Tensor: shape=(), dtype=float32, numpy=8.872104>, <tf.Tensor: shape=(), dtype=float32, numpy=9.2229>, <tf.Tensor: shape=(), dtype=float32, numpy=8.73973>, <tf.Tensor: shape=(), dtype=float32, numpy=7.9351816>, <tf.Tensor: shape=(), dtype=float32, numpy=8.2246>, <tf.Tensor: shape=(), dtype=float32, numpy=7.8029346>, <tf.Tensor: shape=(), dtype=float32, numpy=7.5038466>, <tf.Tensor: shape=(), dtype=float32, numpy=7.63562>, <tf.Tensor: shape=(), dtype=float32, numpy=7.935241>, <tf.Tensor: shape=(), dtype=float32, numpy=7.700656>, <tf.Tensor: shape=(), dtype=float32, numpy=7.7310343>, <tf.Tensor: shape=(), dtype=float32, numpy=7.775563>]",0.0,0.6041281374729318,0.6090045619755263,0.9900562915023426,0.9911604394363016,1800.0,5000.0,2800.0,200.0,chr1,CTCF_early_stop_5000_train_1000_5_0_02Aug2020_0802_1000.csv
3,CTCF,,,10000.0,1000.0,,0.001,5.0,10803.40270134434,"[<tf.Tensor: shape=(), dtype=float32, numpy=47.30509>, <tf.Tensor: shape=(), dtype=float32, numpy=15.353404>, <tf.Tensor: shape=(), dtype=float32, numpy=11.098135>, <tf.Tensor: shape=(), dtype=float32, numpy=9.183307>, <tf.Tensor: shape=(), dtype=float32, numpy=9.329965>, <tf.Tensor: shape=(), dtype=float32, numpy=9.206289>, <tf.Tensor: shape=(), dtype=float32, numpy=8.146649>, <tf.Tensor: shape=(), dtype=float32, numpy=8.390996>, <tf.Tensor: shape=(), dtype=float32, numpy=8.014176>, <tf.Tensor: shape=(), dtype=float32, numpy=7.646845>, <tf.Tensor: shape=(), dtype=float32, numpy=7.6876507>, <tf.Tensor: shape=(), dtype=float32, numpy=8.062235>, <tf.Tensor: shape=(), dtype=float32, numpy=7.8049393>, <tf.Tensor: shape=(), dtype=float32, numpy=7.578228>, <tf.Tensor: shape=(), dtype=float32, numpy=7.8812313>, <tf.Tensor: shape=(), dtype=float32, numpy=7.510771>, <tf.Tensor: shape=(), dtype=float32, numpy=7.338068>, <tf.Tensor: shape=(), dtype=float32, numpy=7.7406054>, <tf.Tensor: shape=(), dtype=float32, numpy=7.4483643>, <tf.Tensor: shape=(), dtype=float32, numpy=7.4761143>, <tf.Tensor: shape=(), dtype=float32, numpy=7.503385>, <tf.Tensor: shape=(), dtype=float32, numpy=7.294588>, <tf.Tensor: shape=(), dtype=float32, numpy=7.3051505>, <tf.Tensor: shape=(), dtype=float32, numpy=7.710993>, <tf.Tensor: shape=(), dtype=float32, numpy=7.5483265>]",0.0,0.6161601180707371,0.6136703711921232,0.9913626843548978,0.991237875553782,4200.0,5000.0,5000.0,200.0,chr1,CTCF_early_stop_5000_train_1000_5_3_02Aug2020_0802_1000.csv
4,CTCF,,,10000.0,5000.0,,0.001,4.0,18893.819034279324,"[<tf.Tensor: shape=(), dtype=float32, numpy=38.054764>, <tf.Tensor: shape=(), dtype=float32, numpy=9.8351965>, <tf.Tensor: shape=(), dtype=float32, numpy=7.2609468>, <tf.Tensor: shape=(), dtype=float32, numpy=6.150436>, <tf.Tensor: shape=(), dtype=float32, numpy=6.1733074>, <tf.Tensor: shape=(), dtype=float32, numpy=5.6663427>, <tf.Tensor: shape=(), dtype=float32, numpy=5.087435>, <tf.Tensor: shape=(), dtype=float32, numpy=5.0387893>, <tf.Tensor: shape=(), dtype=float32, numpy=5.0079813>, <tf.Tensor: shape=(), dtype=float32, numpy=4.83305>, <tf.Tensor: shape=(), dtype=float32, numpy=4.904845>, <tf.Tensor: shape=(), dtype=float32, numpy=5.1790767>, <tf.Tensor: shape=(), dtype=float32, numpy=4.881346>, <tf.Tensor: shape=(), dtype=float32, numpy=5.260486>]",0.0,0.5867089099001505,0.5965993200662162,0.9900681346732514,0.9907441064282,1800.0,5000.0,2600.0,200.0,chr1,CTCF_early_stop_5000_train_5000_4_3_02Aug2020_0802_5000.csv
5,CTCF,,,10000.0,5000.0,,0.0,4.0,20860.807290467437,"[<tf.Tensor: shape=(), dtype=float32, numpy=42.820473>, <tf.Tensor: shape=(), dtype=float32, numpy=9.478892>, <tf.Tensor: shape=(), dtype=float32, numpy=6.8474483>, <tf.Tensor: shape=(), dtype=float32, numpy=6.0079336>, <tf.Tensor: shape=(), dtype=float32, numpy=5.7494664>, <tf.Tensor: shape=(), dtype=float32, numpy=5.5155087>, <tf.Tensor: shape=(), dtype=float32, numpy=5.115309>, <tf.Tensor: shape=(), dtype=float32, numpy=5.163706>, <tf.Tensor: shape=(), dtype=float32, numpy=5.179546>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8810945>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9020834>, <tf.Tensor: shape=(), dtype=float32, numpy=5.0178947>, <tf.Tensor: shape=(), dtype=float32, numpy=4.907521>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9653974>]",0.0,0.5894149819830449,0.5905313555216076,0.9886961488741244,0.9900389822525528,1800.0,5000.0,2600.0,200.0,chr1,CTCF_early_stop_5000_train_5000_4_0_02Aug2020_0802_5000.csv
6,CTCF,,,10000.0,5000.0,,0.0,5.0,21641.65743414033,"[<tf.Tensor: shape=(), dtype=float32, numpy=48.405045>, <tf.Tensor: shape=(), dtype=float32, numpy=9.993378>, <tf.Tensor: shape=(), dtype=float32, numpy=7.670175>, <tf.Tensor: shape=(), dtype=float32, numpy=6.181262>, <tf.Tensor: shape=(), dtype=float32, numpy=6.2784986>, <tf.Tensor: shape=(), dtype=float32, numpy=5.63719>, <tf.Tensor: shape=(), dtype=float32, numpy=5.1638923>, <tf.Tensor: shape=(), dtype=float32, numpy=5.206058>, <tf.Tensor: shape=(), dtype=float32, numpy=5.195357>, <tf.Tensor: shape=(), dtype=float32, numpy=4.882323>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8497663>, <tf.Tensor: shape=(), dtype=float32, numpy=5.0411034>, <tf.Tensor: shape=(), dtype=float32, numpy=4.925579>, <tf.Tensor: shape=(), dtype=float32, numpy=5.118379>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9241486>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8610077>]",0.0,0.6015020858557373,0.6040414001179374,0.9907322632572912,0.9912132781988175,2000.0,5000.0,3000.0,200.0,chr1,CTCF_early_stop_5000_train_5000_5_0_02Aug2020_0802_5000.csv
7,CTCF,,,10000.0,5000.0,,0.001,5.0,34012.33380633034,"[<tf.Tensor: shape=(), dtype=float32, numpy=46.83477>, <tf.Tensor: shape=(), dtype=float32, numpy=9.858262>, <tf.Tensor: shape=(), dtype=float32, numpy=7.4011545>, <tf.Tensor: shape=(), dtype=float32, numpy=6.3146896>, <tf.Tensor: shape=(), dtype=float32, numpy=6.668387>, <tf.Tensor: shape=(), dtype=float32, numpy=5.896194>, <tf.Tensor: shape=(), dtype=float32, numpy=5.3039007>, <tf.Tensor: shape=(), dtype=float32, numpy=5.1781116>, <tf.Tensor: shape=(), dtype=float32, numpy=5.3093367>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9358735>, <tf.Tensor: shape=(), dtype=float32, numpy=5.0776925>, <tf.Tensor: shape=(), dtype=float32, numpy=5.0950947>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9574275>, <tf.Tensor: shape=(), dtype=float32, numpy=5.151679>, <tf.Tensor: shape=(), dtype=float32, numpy=4.91878>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9132013>, <tf.Tensor: shape=(), dtype=float32, numpy=5.2491336>, <tf.Tensor: shape=(), dtype=float32, numpy=4.960108>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8049297>, <tf.Tensor: shape=(), dtype=float32, numpy=4.772284>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8003006>, <tf.Tensor: shape=(), dtype=float32, numpy=4.768622>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8339615>, <tf.Tensor: shape=(), dtype=float32, numpy=4.945682>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8133054>]",0.0,0.6079272028307556,0.6092684566027906,0.9908115214010654,0.9906530051135168,4200.0,5000.0,5000.0,200.0,chr1,CTCF_early_stop_5000_train_5000_5_3_02Aug2020_0802_5000.csv
8,CTCF,,,10000.0,5000.0,,0.0,4.0,19853.4151302008,"[<tf.Tensor: shape=(), dtype=float32, numpy=41.38532>, <tf.Tensor: shape=(), dtype=float32, numpy=9.570116>, <tf.Tensor: shape=(), dtype=float32, numpy=7.1454873>, <tf.Tensor: shape=(), dtype=float32, numpy=6.3081126>, <tf.Tensor: shape=(), dtype=float32, numpy=6.3190975>, <tf.Tensor: shape=(), dtype=float32, numpy=5.533133>, <tf.Tensor: shape=(), dtype=float32, numpy=5.1755342>, <tf.Tensor: shape=(), dtype=float32, numpy=5.0925875>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9829636>, <tf.Tensor: shape=(), dtype=float32, numpy=4.8815>, <tf.Tensor: shape=(), dtype=float32, numpy=4.851119>, <tf.Tensor: shape=(), dtype=float32, numpy=5.028868>, <tf.Tensor: shape=(), dtype=float32, numpy=4.940578>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9815516>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9250546>]",0.0,0.5746324808734556,0.5827445915729091,0.9903250403806576,0.9910001011224592,2000.0,5000.0,2800.0,200.0,chr1,CTCF_early_stop_5000_train_5000_sample_4_0_3_12Aug2020_1224_5000.csv
9,CTCF,,,10000.0,5000.0,,0.0,4.0,21056.735198803246,"[<tf.Tensor: shape=(), dtype=float32, numpy=44.53079>, <tf.Tensor: shape=(), dtype=float32, numpy=9.466775>, <tf.Tensor: shape=(), dtype=float32, numpy=6.920854>, <tf.Tensor: shape=(), dtype=float32, numpy=5.769415>, <tf.Tensor: shape=(), dtype=float32, numpy=5.6862674>, <tf.Tensor: shape=(), dtype=float32, numpy=5.421092>, <tf.Tensor: shape=(), dtype=float32, numpy=5.166929>, <tf.Tensor: shape=(), dtype=float32, numpy=5.1320305>, <tf.Tensor: shape=(), dtype=float32, numpy=5.118591>, <tf.Tensor: shape=(), dtype=float32, numpy=4.898653>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9259496>, <tf.Tensor: shape=(), dtype=float32, numpy=4.988673>, <tf.Tensor: shape=(), dtype=float32, numpy=4.9379115>, <tf.Tensor: shape=(), dtype=float32, numpy=5.1035843>]",0.0,0.5923992378490782,0.5876859779598709,0.9827936946958082,0.9882643286425266,1800.0,5000.0,2600.0,200.0,chr1,CTCF_early_stop_5000_train_5000_sample_4_0_4_12Aug2020_1224_5000.csv
